function	invocation count	elapsed time	avg. per invocation	hash
benchSpawn	1000000	96ms	96ns	0
benchQueryEmpty	1000	313ms	313µs	0
benchQueryFlag	1000	303ms	303µs	0
benchQueryName	1000	327ms	327µs	0
benchCounter	1000	11s	11ms	0
benchSum	1000	16s	16ms	0
benchFlag	1000	20s	20ms	0
benchSearchFlag	1000	14s	14ms	0
benchSearchRandomValue	1000	10s	10ms	0
benchDespawn	1000000	21ms	21ns	0
benchSpawn	1000000	43ms	43ns	0
benchDespawnRandom	500000	11ms	22ns	8f8a5
benchQueryEmpty	1000	340ms	340µs	0
benchQueryFlag	1000	332ms	332µs	0
benchQueryName	1000	355ms	355µs	0
benchCounter	1000	8s	8ms	3e8
benchSum	1000	11s	11ms	0
benchFlag	1000	13s	13ms	0
benchSearchFlag	1000	10s	10ms	0
benchSearchRandomValue	1000	8s	8ms	0
benchSpawn	1000000	131ms	131ns	0
benchConcurrentQueries	1	80ms	80ms	0
benchDespawn	1000000	55ms	55ns	0
